Wavelength (nm),Absorption Coefficient,Intensity Ratio at 1m
632,0.09716324548189452,0.9074078638078168
633,0.09743751205989779,0.907159026283625
634,0.09771177863790105,0.9069102569978911
635,0.09798604521590433,0.9066615559319023
636,0.0982603117939076,0.9064129230669509
637,0.09853457837191086,0.906164358384334
638,0.09880884494991414,0.905915861865354
639,0.0990831115279174,0.9056674334913186
640,0.09935737810592067,0.9054190732435404
641,0.09963164468392395,0.9051707811033373
642,0.09990591126192722,0.9049225570520321
643,0.10018017783993048,0.9046744010709529
644,0.10045444441793376,0.9044263131414328
645,0.10072871099593703,0.9041782932448104
646,0.10100297757394029,0.9039303413624287
647,0.10127724415194357,0.9036824574756365
648,0.10155151072994684,0.9034346415657872
649,0.10213008691369889,0.9029120869819963
650,0.10275238466605319,0.9023503816118155
651,0.10337468241840748,0.901789025680885
652,0.10399698017076178,0.9012280189718175
653,0.10461927792311607,0.9006673612673604
654,0.10524157567547036,0.9001070523503965
655,0.10586387342782466,0.8995470920039437
656,0.10648617118017896,0.8989874800111548
657,0.10710846893253326,0.8984282161553175
658,0.10773076668488756,0.8978693002198544
659,0.10835306443724184,0.8973107319883229
660,0.10897536218959614,0.8967525112444148
661,0.10959765994195043,0.8961946377719566
662,0.11021995769430473,0.8956371113549093
663,0.11084225544665903,0.8950799317773682
664,0.11146455319901331,0.8945230988235633
665,0.11208685095136761,0.8939666122778581
666,0.11270914870372191,0.893410471924751
667,0.1133314464560762,0.892854677548874
668,0.1139537442084305,0.8922992289349934
669,0.11457604196078479,0.8917441258680089
670,0.11519833971313909,0.8911893681329547
671,0.11582063746549338,0.890634955514998
672,0.11644730516876615,0.8900769981981459
673,0.1172577219190403,0.8893559571011272
674,0.11806813866931444,0.8886355001111741
675,0.11887855541958857,0.8879156267551083
676,0.11968897216986271,0.8871963365601346
677,0.12049938892013685,0.8864776290538411
678,0.12130980567041098,0.8857595037641982
679,0.12212022242068513,0.885041960219559
680,0.12293063917095927,0.8843249979486587
681,0.1237410559212334,0.8836086164806142
682,0.12455147267150754,0.8828928153449235
683,0.12536188942178167,0.8821775940714663
684,0.12617230617205583,0.881462952190503
685,0.12698272292232995,0.8807488892326741
686,0.12779313967260408,0.880035404729001
687,0.12860355642287824,0.8793224982108844
688,0.12941397317315237,0.878610169210105
689,0.1302243899234265,0.8778984172588228
690,0.13126667296734063,0.8769838753128095
691,0.13259100563666712,0.8758232256290416
692,0.13391533830599361,0.8746641120142099
693,0.1352396709753201,0.8735065324353946
694,0.1365640036446466,0.8723504848623662
695,0.1378883363139731,0.8711959672675825
696,0.1392126689832996,0.8700429776261842
697,0.1405370016526261,0.8688915139159921
698,0.14186133432195258,0.8677415741175032
699,0.14318566699127908,0.8665931562138872
700,0.14450999966060554,0.8654462581909831
